seq,kind,hw_valid,hw_timestamp,handler_receipt_qpc,encode_start_qpc,present_submitted_qpc,hw_to_receipt_us,receipt_to_encode_us,encode_to_present_us,receipt_to_present_us,hw_to_present_us
0,update,true,264388439419,264388443085,264388443903,264388512762,152.750,34.083,2869.125,2903.208,3055.958
1,update,true,264388592875,264388594346,264388594486,264389050838,61.292,5.833,19014.667,19020.500,19081.792
2,update,true,264389051887,264389054262,264389054358,264389130644,98.958,4.000,3178.583,3182.583,3281.542
3,update,true,264389157886,264389158603,264389158687,264389167691,29.875,3.500,375.167,378.667,408.542
4,update,true,264389384261,264389385127,264389385212,264389394702,36.083,3.542,395.417,398.958,435.042
5,update,true,264389572410,264389573258,264389573349,264389583854,35.333,3.792,437.708,441.500,476.833
6,update,true,264389788857,264389789450,264389789523,264389797625,24.708,3.042,337.583,340.625,365.333
7,update,true,264389952701,264389953339,264389953429,264389963628,26.583,3.750,424.958,428.708,455.292
8,update,true,264390174900,264390175605,264390175677,264390184939,29.375,3.000,385.917,388.917,418.292
9,update,true,264390357054,264390357527,264390357589,264390364883,19.708,2.583,303.917,306.500,326.208
10,update,true,264390552667,264390553356,264390553426,264390562330,28.708,2.917,371.000,373.917,402.625
11,update,true,264390714096,264390715238,264390715348,264390727504,47.583,4.583,506.500,511.083,558.667
12,update,true,264390853650,264390854304,264390854399,264390862818,27.250,3.958,350.792,354.750,382.000
13,update,true,264391056531,264391057548,264391057644,264391069272,42.375,4.000,484.500,488.500,530.875
14,update,true,264391238006,264391238719,264391238797,264391248474,29.708,3.250,403.208,406.458,436.167
15,update,true,264391430053,264391430612,264391430681,264391438597,23.292,2.875,329.833,332.708,356.000
16,update,true,264391621031,264391622143,264391622245,264391634315,46.333,4.250,502.917,507.167,553.500
17,update,true,264391818274,264391819354,264391819460,264391830894,45.000,4.417,476.417,480.833,525.833
18,update,true,264392008770,264392009452,264392009532,264392020927,28.417,3.333,474.792,478.125,506.542
19,update,true,264392193632,264392194510,264392194623,264392208570,36.583,4.708,581.125,585.833,622.417
